01000000000,PIEMONTE 1
02000000000,PIEMONTE 2
03000000000,LOMBARDIA 1
04000000000,LOMBARDIA 2
05000000000,LOMBARDIA 3
06000000000,LOMBARDIA 4
07000000000,VENETO 1
08000000000,VENETO 2
09000000000,FRIULI-VENEZIA GIULIA
11000000000,EMILIA-ROMAGNA
12000000000,TOSCANA
13000000000,UMBRIA
14000000000,MARCHE
15000000000,LAZIO 1
16000000000,LAZIO 2
17000000000,ABRUZZO
18000000000,MOLISE
19000000000,CAMPANIA 1
21000000000,PUGLIA
22000000000,BASILICATA
23000000000,CALABRIA
24000000000,SICILIA 1
25000000000,SICILIA 2
26000000000,SARDEGNA
27000000000,VALLE D'AOSTA
28000000000,TRENTINO-ALTO ADIGE/SÃœDTIROL
